Muestra,IRRADIANCE [W/m^2],TEMPERATURE [°C],ZENITH [deg],AZIMUTH [deg],ALBEDO,Vmpp,Impp,Pmpp,Fill Factor,Eficiencia
2020_01_05_05_54,0,14.9,155,-32,0.14,11.46,0.01,0.11,0.66826,0
2020_01_05_06_00,0,14.9,154,-34,0.14,12.88,0.01,0.17,0.69680,0
2020_01_05_06_05,0,14.9,154,-37,0.14,13.09,0.02,0.22,0.67886,0
2020_01_05_06_11,0,14.9,153,-39,0.14,13.67,0.03,0.45,0.71341,1
2020_01_05_06_17,0,14.9,152,-41,0.14,14.27,0.06,0.78,0.76495,2
2020_01_05_06_23,0,15,150,-44,0.14,15.26,0.09,1.34,0.76025,2
2020_01_05_06_28,0,15,149,-46,0.14,15.66,0.13,1.96,0.78750,3
2020_01_05_06_34,0,15,149,-47,0.14,15.66,0.22,3.38,0.77242,3
2020_01_05_06_40,0,15,148,-49,0.14,17.06,0.45,7.61,0.79595,3
2020_01_05_06_46,0,15,147,-50,0.14,16.46,0.42,6.83,0.78247,3
2020_01_05_06_51,0,15,146,-52,0.14,16.26,0.45,7.25,0.77603,3
2020_01_05_06_57,0,15,145,-53,0.14,16.47,0.49,8.14,0.77989,3
2020_01_05_07_03,0,15,143,-55,0.14,16.06,0.52,8.30,0.78159,3
2020_01_05_07_09,0,15,142,-56,0.14,16.26,0.51,8.36,0.77648,3
2020_01_05_07_14,0,15,141,-57,0.14,16.66,0.63,10.55,0.79029,3
2020_01_05_07_20,0,15,140,-58,0.14,16.47,0.69,11.35,0.78067,3
2020_01_05_07_26,0,14.9,139,-59,0.14,16.47,0.83,13.60,0.77704,3
2020_01_05_07_32,0,14.9,137,-60,0.14,16.26,0.93,15.14,0.77741,3
2020_01_05_07_37,0,14.9,136,-61,0.14,16.26,0.74,11.97,0.74734,2
2020_01_05_07_43,0,14.9,134,-62,0.14,16.26,0.69,11.28,0.81236,3
2020_01_05_07_49,0,14.8,133,-63,0.14,16.86,0.85,14.25,0.77276,3
2020_01_05_07_55,0,14.8,132,-63,0.14,16.26,0.94,15.28,0.77738,3
2020_01_05_08_00,0,14.8,131,-64,0.14,16.26,0.77,12.57,0.76563,3
2020_01_05_08_06,0,14.8,130,-65,0.14,16.26,0.81,13.24,0.76196,2
2020_01_05_08_12,0,14.7,129,-65,0.14,16.47,0.73,12.07,0.77771,3
2020_01_05_08_18,0,14.7,126,-66,0.14,16.86,0.84,14.11,0.76904,3
2020_01_05_08_24,0,14.6,125,-67,0.14,16.66,0.76,12.59,0.76267,2
2020_01_05_08_29,0,14.6,124,-67,0.14,15.87,0.51,8.03,0.73894,1
2020_01_05_08_35,0,14.6,123,-68,0.14,16.06,0.47,7.48,0.78541,3
2020_01_05_08_41,0,14.5,122,-68,0.14,16.26,0.58,9.46,0.79557,3
2020_01_05_08_47,0,14.5,121,-69,0.14,16.26,0.72,11.76,0.78576,3
2020_01_05_08_52,0,14.5,119,-69,0.14,16.26,0.90,14.55,0.79326,3
2020_01_05_08_58,0,14.4,118,-69,0.14,16.47,1.01,16.67,0.76835,3
2020_01_05_09_04,0,14.4,116,-70,0.14,16.26,0.76,12.37,0.75971,2
2020_01_05_09_10,0,14.4,115,-70,0.14,16.26,0.67,10.94,0.77297,3
2020_01_05_09_15,0,14.4,114,-71,0.14,16.47,0.71,11.74,0.77810,3
2020_01_05_09_21,0,14.4,112,-71,0.14,16.47,0.81,13.26,0.79217,3
2020_01_05_09_27,0,14.4,111,-71,0.14,16.26,1.03,16.67,0.77061,3
2020_01_05_09_33,0,14.3,109,-72,0.14,16.06,0.75,12.06,0.75126,2
2020_01_05_09_38,0,14.3,108,-72,0.14,16.06,0.79,12.74,0.77843,3
2020_01_05_09_44,0,14.3,107,-72,0.14,16.47,0.81,13.31,0.76728,3
2020_01_05_09_50,0,14.3,105,-73,0.14,16.26,0.98,15.87,0.79714,3
2020_01_05_09_56,0,14.3,104,-73,0.14,16.26,1.22,19.80,0.77907,3
2020_01_05_10_01,0,14.3,103,-73,0.14,16.47,1.26,20.69,0.82936,3
2020_01_05_10_07,0,14.3,102,-73,0.14,15.86,1.10,17.43,0.75749,2
2020_01_05_10_13,0,14.3,99,-74,0.14,16.06,1.65,26.42,0.72814,1
2020_01_05_10_19,0,14.3,98,-74,0.14,15.87,1.50,23.76,0.75317,2
2020_01_05_10_24,0,14.3,97,-74,0.14,15.66,1.33,20.78,0.76120,2
2020_01_05_10_30,0,14.3,96,-74,0.14,15.86,1.10,17.43,0.75984,2
2020_01_05_10_36,0,14.3,95,-74,0.14,16.47,1.73,28.54,0.88388,3
2020_01_05_10_42,0,14.3,93,-75,0.14,15.66,1.37,21.42,0.72213,1
2020_01_05_10_47,0,14.3,92,-75,0.14,15.86,1.60,25.41,0.76129,2
2020_01_05_10_53,1,14.3,90,-75,0.14,15.86,1.54,24.47,0.74691,2
2020_01_05_10_59,1,14.3,90,-75,0.14,15.86,1.52,24.06,0.74598,2
2020_01_05_11_05,8,14.3,87,-75,0.14,15.86,1.44,22.90,0.74577,2
2020_01_05_11_11,18,14.4,86,-75,0.14,15.86,1.37,21.68,0.74981,2
2020_01_05_11_16,31,14.5,85,-75,0.14,15.86,1.28,20.30,0.75087,2
2020_01_05_11_22,43,14.5,84,-76,0.14,16.06,1.15,18.50,0.75411,2
2020_01_05_11_28,60,14.6,81,-76,0.14,15.86,0.96,15.21,0.75042,2
2020_01_05_11_34,64,14.7,80,-76,0.14,15.86,0.80,12.67,0.75457,2
2020_01_05_11_39,73,14.7,79,-76,0.14,15.86,0.71,11.24,0.77634,3
2020_01_05_11_45,84,14.8,78,-76,0.14,16.05,0.60,9.68,0.76244,2
2020_01_05_11_51,97,14.9,77,-76,0.14,16.06,0.60,9.62,0.78176,3
2020_01_05_11_57,109,14.9,75,-76,0.14,16.06,0.64,10.23,0.77299,3
2020_01_05_12_02,108,15,74,-76,0.14,16.26,0.71,11.46,0.77927,3
2020_01_05_12_08,104,15.1,72,-76,0.14,16.26,0.79,12.83,0.77290,3
2020_01_05_12_14,108,15.2,71,-76,0.14,16.26,0.87,14.18,0.77351,3
2020_01_05_12_20,132,15.3,69,-76,0.14,16.26,1.00,16.24,0.77406,3
2020_01_05_12_25,164,15.4,68,-76,0.14,16.26,1.24,20.08,0.76991,3
2020_01_05_12_31,192,15.4,67,-76,0.14,16.06,1.58,25.31,0.75865,2
2020_01_05_12_37,217,15.5,66,-76,0.14,15.86,1.77,28.07,0.73159,1
2020_01_05_12_43,160,15.7,63,-76,0.14,15.66,1.61,25.13,0.73676,1
2020_01_05_12_48,186,15.8,62,-76,0.14,15.86,1.46,23.20,0.75003,2
2020_01_05_12_54,233,15.8,61,-76,0.14,15.66,1.48,23.19,0.74703,2
2020_01_05_13_00,269,15.9,60,-76,0.14,15.66,1.46,22.83,0.74445,1
2020_01_05_13_06,300,16,59,-76,0.14,16.06,1.32,21.20,0.74872,2
2020_01_05_13_12,294,16.2,57,-76,0.14,15.86,1.27,20.08,0.75159,2
2020_01_05_13_17,275,16.3,56,-76,0.14,15.86,1.25,19.81,0.75412,2
2020_01_05_13_23,191,16.6,54,-76,0.14,15.86,1.26,20.05,0.75544,2
2020_01_05_13_29,151,16.8,53,-76,0.14,15.86,1.29,20.46,0.75445,2
2020_01_05_13_35,116,16.9,51,-76,0.14,15.86,1.31,20.84,0.75326,2
2020_01_05_13_40,117,17.1,50,-76,0.14,15.86,1.33,21.16,0.75220,2
2020_01_05_13_46,135,17.2,49,-76,0.14,15.86,1.34,21.20,0.74687,2
2020_01_05_13_52,215,17.4,48,-75,0.14,15.86,1.30,20.63,0.75343,2
2020_01_05_13_58,312,17.5,46,-75,0.14,15.66,1.34,20.92,0.74942,2
2020_01_05_14_03,343,17.9,44,-75,0.14,15.85,1.33,21.02,0.74878,2
2020_01_05_14_09,339,18,43,-75,0.14,15.86,1.39,22.11,0.75502,2
2020_01_05_14_15,333,18.2,42,-74,0.14,15.66,1.51,23.57,0.75052,2
2020_01_05_14_21,322,18.4,40,-74,0.14,15.66,1.70,26.67,0.74691,2
2020_01_05_14_26,308,18.6,39,-74,0.14,15.45,1.96,30.33,0.72809,1
2020_01_05_14_32,247,18.8,38,-74,0.14,15.66,1.94,30.43,0.72998,1
2020_01_05_14_38,198,19.2,36,-73,0.14,15.26,1.98,30.21,0.71346,1
2020_01_05_14_44,252,19.4,35,-72,0.14,15.45,1.75,27.10,0.72227,1
2020_01_05_14_49,297,19.6,33,-72,0.14,15.45,1.61,24.94,0.73014,1
2020_01_05_14_55,339,19.8,32,-72,0.14,15.66,1.60,24.99,0.73707,1
2020_01_05_15_01,359,19.9,31,-71,0.14,15.66,1.86,29.16,0.74908,2
2020_01_05_15_07,372,20,30,-71,0.14,15.06,2.44,36.72,0.71184,1
2020_01_05_15_12,378,20.1,29,-70,0.14,14.87,2.80,41.70,0.73418,1
2020_01_05_15_18,379,20.2,26,-68,0.14,15.06,2.72,41.02,0.70123,1
2020_01_05_15_24,374,20.3,25,-68,0.14,14.66,2.74,40.14,0.69240,0
2020_01_05_15_30,375,20.4,24,-67,0.14,14.67,2.63,38.64,0.69242,0
2020_01_05_15_36,378,20.4,23,-66,0.14,14.66,2.49,36.46,0.70133,1
2020_01_05_15_41,396,20.5,22,-65,0.14,14.87,2.36,35.02,0.71256,1
2020_01_05_15_47,416,20.5,21,-63,0.14,14.87,2.26,33.67,0.70971,1
2020_01_05_15_53,362,20.6,18,-60,0.14,6.66,2.23,14.86,0.32755,0
2020_01_05_15_59,362,20.6,18,-60,0.14,7.27,1.60,11.62,0.34843,0
2020_01_05_16_04,300,20.8,16,-56,0.14,15.45,0.39,5.98,0.74271,1
2020_01_05_16_10,264,20.8,15,-54,0.14,15.45,0.37,5.72,0.73469,1
2020_01_05_16_28,196,20.9,12,-40,0.14,15.66,0.33,5.23,0.73995,1
2020_01_05_16_34,185,21,11,-35,0.14,15.06,0.25,3.70,0.69266,0
2020_01_05_16_40,163,21,10,-30,0.14,15.65,0.31,4.88,0.74992,2
2020_01_05_16_46,139,21,10,-24,0.14,15.66,0.30,4.74,0.75559,2
2020_01_05_16_51,127,21.1,9,-17,0.14,15.66,0.32,4.95,0.75703,2
2020_01_05_16_57,120,21.1,9,-10,0.14,15.45,0.33,5.13,0.75700,2
2020_01_05_17_03,102,21.2,9,6,0.14,15.65,0.31,4.90,0.75192,2
2020_01_05_17_09,110,21.2,9,13,0.14,15.45,0.30,4.56,0.75620,2
2020_01_05_17_14,126,21.2,9,21,0.14,15.45,0.30,4.62,0.73461,1
2020_01_05_17_20,196,21.2,10,27,0.14,16.05,0.24,3.92,0.74945,2
2020_01_05_17_26,281,21.3,11,33,0.14,15.45,0.22,3.43,0.72493,1
2020_01_05_17_32,325,21.3,11,38,0.14,15.45,0.18,2.84,0.73356,1
2020_01_05_17_38,344,21.3,13,46,0.14,15.06,0.15,2.29,0.71531,1
2020_01_05_17_43,324,21.4,14,50,0.14,14.26,0.09,1.31,0.71796,1
2020_01_05_17_49,324,21.4,15,53,0.14,13.86,0.07,0.98,0.70063,1
2020_01_05_17_55,329,21.4,16,55,0.14,13.66,0.05,0.64,0.70226,1
2020_01_05_18_01,321,21.5,17,57,0.14,12.86,0.03,0.36,0.66819,0
2020_02_05_05_42,0,14.1,156,-24,0.14,11.86,0.00,0.05,0.64853,0
2020_02_05_05_48,0,14,155,-29,0.14,11.45,0.01,0.09,0.65790,0
2020_02_05_05_54,0,14,155,-32,0.14,13.46,0.02,0.31,0.73273,1
2020_02_05_06_00,0,13.9,154,-34,0.14,14.86,0.05,0.74,0.77256,3
2020_02_05_06_05,0,13.9,153,-36,0.14,15.45,0.10,1.53,0.79498,3
2020_02_05_06_11,0,13.8,153,-38,0.14,15.45,0.14,2.13,0.77802,3
2020_02_05_06_17,0,13.8,152,-40,0.14,15.86,0.16,2.55,0.77564,3
2020_02_05_06_23,0,13.7,150,-44,0.14,16.06,0.20,3.20,0.78928,3
2020_02_05_06_29,0,13.7,149,-46,0.14,16.27,0.24,3.89,0.78377,3
2020_02_05_06_34,0,13.6,148,-47,0.14,16.26,0.28,4.62,0.78982,3
2020_02_05_06_40,0,13.6,147,-49,0.14,16.26,0.30,4.94,0.77410,3
2020_02_05_06_46,0,13.6,146,-50,0.14,16.06,0.36,5.81,0.78083,3
2020_02_05_06_52,0,13.5,146,-51,0.14,16.47,0.42,6.95,0.77494,3
2020_02_05_06_58,0,13.5,145,-52,0.14,16.26,0.40,6.52,0.77921,3
2020_02_05_07_03,0,13.4,143,-55,0.14,16.06,0.39,6.22,0.75637,2
2020_02_05_07_09,0,13.4,142,-56,0.14,16.27,0.36,5.91,0.78262,3
2020_02_05_07_15,0,13.4,140,-57,0.14,16.47,0.42,6.92,0.78952,3
2020_02_05_07_21,0,13.3,139,-58,0.14,16.26,0.52,8.41,0.77498,3
2020_02_05_07_27,0,13.3,138,-59,0.14,16.06,0.32,5.11,0.77078,3
2020_02_05_07_33,0,13.3,136,-60,0.14,16.06,0.30,4.77,0.77554,3
2020_02_05_07_38,0,13.2,135,-61,0.14,16.26,0.30,4.89,0.78796,3
2020_02_05_07_44,0,13.2,134,-62,0.14,16.47,0.32,5.20,0.78660,3
2020_02_05_07_50,0,13.2,133,-62,0.14,16.26,0.34,5.48,0.78526,3
2020_02_05_07_56,0,13.2,132,-63,0.14,16.26,0.36,5.87,0.78794,3
2020_02_05_08_02,0,13.1,131,-64,0.14,16.26,0.42,6.80,0.79396,3
2020_02_05_08_07,0,13.1,130,-64,0.14,16.27,0.48,7.83,0.77984,3
2020_02_05_08_13,0,13.1,127,-65,0.14,16.47,0.55,9.07,0.78117,3
2020_02_05_08_19,0,13,126,-66,0.14,16.66,0.79,13.08,0.80791,3
2020_02_05_08_25,0,13,125,-66,0.14,17.67,0.87,15.41,0.82230,3
2020_02_05_08_31,0,13,124,-67,0.14,17.86,0.87,15.57,0.74017,1
2020_02_05_08_36,0,13,123,-67,0.14,18.47,1.03,19.06,0.46236,0
2020_02_05_08_42,0,12.9,122,-68,0.14,15.45,2.53,39.13,0.74733,2
2020_02_05_08_48,0,12.9,119,-69,0.14,15.46,2.16,33.36,0.70760,1
2020_02_05_08_54,0,12.9,118,-69,0.14,15.45,1.78,27.49,0.73457,1
2020_02_05_09_00,0,12.8,117,-69,0.14,15.66,1.13,17.66,0.51509,0
2020_02_05_09_05,0,12.8,116,-70,0.14,15.66,0.94,14.74,0.75334,2
2020_02_05_09_11,0,12.8,115,-70,0.14,15.86,1.10,17.40,0.40354,0
2020_02_05_09_17,0,12.8,114,-70,0.14,15.66,0.95,14.86,0.73829,1
2020_02_05_09_23,0,12.8,111,-71,0.14,16.26,1.07,17.46,0.79181,3
2020_02_05_09_29,0,12.7,110,-71,0.14,15.67,2.06,32.25,0.70703,1
2020_02_05_09_34,0,12.7,109,-72,0.14,15.86,0.96,15.18,0.77436,3
2020_02_05_09_40,0,12.7,108,-72,0.14,15.06,3.27,49.17,0.69686,0
2020_02_05_09_46,0,12.7,106,-72,0.14,14.46,3.55,51.35,0.69055,0
2020_02_05_09_52,0,12.7,105,-72,0.14,12.26,3.43,42.00,0.65123,0
2020_02_05_09_58,0,12.7,104,-73,0.14,14.46,3.36,48.64,0.72371,1
2020_02_05_10_09,0,12.6,101,-73,0.14,15.26,1.52,23.24,0.73369,1
2020_02_05_10_32,0,12.6,96,-74,0.14,15.46,1.53,23.64,0.84921,3
2020_02_05_10_38,0,12.6,93,-74,0.14,13.86,3.93,54.50,0.62704,0
2020_02_05_11_30,64,13.6,81,-75,0.14,14.67,1.18,17.31,0.72305,1
2020_02_05_11_48,111,14.3,77,-76,0.14,13.46,5.15,69.35,0.65509,0
2020_06_04_17_15,725,25.6,2,79,0.14,15.65,0.37,5.76,0.75300,2
2020_06_04_17_21,727,25.4,3,86,0.14,15.65,0.33,5.20,0.76283,2
2020_06_04_17_27,715,25.3,5,87,0.14,15.86,0.29,4.58,0.75645,2
2020_06_04_17_32,657,25.1,6,88,0.14,15.85,0.28,4.44,0.77930,3
2020_06_04_17_38,600,24.7,8,88,0.14,15.65,0.29,4.51,0.75653,2
2020_06_04_17_44,638,24.5,9,88,0.14,14.86,0.26,3.89,0.73566,1
2020_06_04_17_49,670,24.4,11,88,0.14,15.25,0.18,2.70,0.72786,1
2020_06_04_17_54,700,24.2,12,88,0.14,15.06,0.15,2.21,0.74255,1
2020_06_04_18_00,719,24.1,13,88,0.14,14.66,0.13,1.86,0.73021,1
2020_07_04_05_58,0,15.2,162,-43,0.14,11.66,0.01,0.07,0.66673,0
2020_07_04_06_04,0,15.1,161,-49,0.14,13.26,0.02,0.32,0.76088,2
2020_07_04_06_10,0,15.1,160,-51,0.14,14.27,0.04,0.60,0.75009,2
2020_07_04_06_15,0,15,159,-53,0.14,14.46,0.06,0.91,0.76472,2
2020_07_04_06_21,0,15,158,-55,0.14,15.26,0.08,1.28,0.76066,2
2020_07_04_06_27,0,15,157,-57,0.14,15.06,0.11,1.70,0.77157,3
2020_07_04_06_33,0,14.9,154,-60,0.14,15.45,0.14,2.15,0.78097,3
2020_07_04_06_38,0,14.9,153,-61,0.14,15.66,0.16,2.52,0.77851,3
2020_07_04_06_44,0,14.8,152,-63,0.14,16.06,0.18,2.96,0.77993,3
2020_07_04_06_50,0,14.8,151,-64,0.14,15.86,0.22,3.46,0.78223,3
2020_07_04_06_56,0,14.8,150,-65,0.14,16.06,0.25,4.02,0.78519,3
2020_07_04_07_01,0,14.8,149,-66,0.14,16.05,0.29,4.70,0.78544,3
2020_07_04_07_07,0,14.7,148,-67,0.14,16.06,0.34,5.43,0.78645,3
2020_07_04_07_13,0,14.7,145,-69,0.14,16.06,0.38,6.10,0.78220,3
2020_07_04_07_19,0,14.7,144,-69,0.14,16.26,0.40,6.57,0.78282,3
2020_07_04_07_25,0,14.7,143,-70,0.14,16.26,0.42,6.75,0.77895,3
2020_07_04_07_30,0,14.6,142,-71,0.14,16.06,0.41,6.65,0.77700,3
2020_07_04_07_36,0,14.6,141,-71,0.14,16.06,0.40,6.46,0.77673,3
2020_07_04_07_42,0,14.6,140,-72,0.14,16.06,0.38,6.15,0.77248,3
2020_07_04_07_48,0,14.6,137,-73,0.14,16.26,0.36,5.82,0.77777,3
2020_07_04_07_53,0,14.6,136,-74,0.14,16.06,0.33,5.36,0.76412,2
2020_07_04_07_59,0,14.6,136,-74,0.14,16.06,0.33,5.24,0.77329,3
2020_07_04_08_05,0,14.5,134,-75,0.14,16.06,0.32,5.16,0.76143,2
2020_07_04_08_11,0,14.5,132,-75,0.14,16.06,0.33,5.22,0.77310,3
2020_07_04_08_16,0,14.5,131,-75,0.14,16.06,0.34,5.40,0.77171,3
2020_07_04_08_22,0,14.5,130,-76,0.14,16.06,0.35,5.60,0.77068,3
2020_07_04_08_28,0,14.5,128,-77,0.14,16.06,0.35,5.60,0.76702,3
2020_07_04_08_34,0,14.5,126,-77,0.14,16.26,0.33,5.35,0.76414,2
2020_07_04_08_39,0,14.5,125,-77,0.14,15.66,0.32,4.96,0.76403,2
2020_07_04_08_45,0,14.5,124,-78,0.14,15.86,0.30,4.82,0.76807,3
2020_07_04_08_51,0,14.5,123,-78,0.14,15.86,0.32,5.03,0.76926,3
2020_07_04_08_57,0,14.5,122,-78,0.14,16.06,0.35,5.57,0.76501,3
2020_07_04_09_02,0,14.5,120,-78,0.14,17.46,0.45,7.82,0.84045,3
2020_07_04_09_08,0,14.5,118,-79,0.14,16.86,0.44,7.42,0.80454,3
2020_07_04_09_14,0,14.4,117,-79,0.14,17.26,0.52,8.91,0.83555,3
2020_07_04_09_31,0,14.4,113,-80,0.14,14.87,4.10,60.95,0.77737,3
2020_07_04_09_43,0,14.3,109,-81,0.14,14.66,3.96,57.99,0.71334,1
2020_07_04_09_48,0,14.3,108,-81,0.14,13.46,4.71,63.34,0.61854,0
2020_07_04_09_54,0,14.3,107,-81,0.14,13.46,4.27,57.50,0.58849,0
2020_07_04_10_00,0,14.3,106,-81,0.14,13.66,3.39,46.32,0.57215,0
2020_07_04_10_06,0,14.3,104,-81,0.14,14.46,2.73,39.53,0.69853,0
2020_07_04_10_11,0,14.3,103,-82,0.14,14.87,2.31,34.36,0.62561,0
2020_07_04_10_17,0,14.3,102,-82,0.14,14.67,2.50,36.65,0.54207,0
2020_07_04_10_23,0,14.3,100,-82,0.14,15.06,2.06,30.98,0.66248,0
2020_07_04_10_29,0,14.3,98,-82,0.14,15.06,1.57,23.66,0.72435,1
2020_07_04_10_34,0,14.3,97,-82,0.14,15.45,2.32,35.91,0.82584,3
2020_07_04_10_40,0,14.3,96,-83,0.14,15.06,2.49,37.56,0.79209,3
2020_07_04_10_46,0,14.3,95,-83,0.14,14.87,3.21,47.69,0.82640,3
2020_07_04_10_52,0,14.3,93,-83,0.14,14.87,2.57,38.22,0.68755,0
2020_07_04_10_57,0,14.3,92,-83,0.14,13.85,3.21,44.46,0.69818,0
2020_07_04_11_03,2,14.4,90,-83,0.14,14.27,3.07,43.87,0.73031,1
2020_07_04_11_09,9,14.5,88,-83,0.14,13.86,3.92,54.26,0.71271,1
2020_07_04_11_15,18,14.7,87,-84,0.14,14.66,2.37,34.71,0.68099,0
2020_07_04_11_21,25,14.8,86,-84,0.14,14.46,3.43,49.55,0.78679,3
2020_07_04_11_26,32,14.9,85,-84,0.14,14.27,2.78,39.60,0.67390,0
2020_07_04_11_32,41,15.1,83,-84,0.14,14.86,3.11,46.14,0.70880,1
2020_07_04_11_38,60,15.3,81,-84,0.14,13.46,4.35,58.55,0.63828,0
2020_07_04_11_44,70,15.5,80,-84,0.14,13.86,3.25,45.10,0.58759,0
2020_07_04_11_49,80,15.6,79,-84,0.14,14.46,2.98,43.11,0.72505,1
2020_07_04_11_55,91,15.7,77,-84,0.14,14.26,3.18,45.32,0.67957,0
2020_07_04_12_01,109,15.9,76,-85,0.14,14.66,2.29,33.56,0.71162,1
2020_07_04_12_07,131,16,75,-85,0.14,14.87,2.00,29.80,0.73672,1
2020_07_04_12_12,152,16.2,74,-85,0.14,15.06,2.17,32.74,0.70500,1
2020_07_04_12_18,195,16.4,71,-85,0.14,15.06,2.16,32.53,0.72643,1
2020_07_04_12_24,218,16.6,70,-85,0.14,15.26,2.26,34.52,0.71906,1
2020_07_04_12_30,250,16.7,69,-85,0.14,15.06,2.08,31.31,0.72205,1
2020_07_04_12_35,283,16.9,67,-85,0.14,15.06,1.88,28.33,0.73348,1
2020_07_04_12_41,311,17,66,-85,0.14,15.06,1.67,25.21,0.72924,1
2020_07_04_12_47,337,17.1,65,-85,0.14,15.06,1.60,24.16,0.73922,1
2020_07_04_12_53,394,17.4,62,-86,0.14,15.25,1.59,24.23,0.74034,1
2020_07_04_12_58,394,17.4,62,-86,0.14,15.45,1.59,24.53,0.74991,2
2020_07_04_13_04,461,17.7,60,-86,0.14,15.45,1.52,23.47,0.74701,2
2020_07_04_13_10,486,17.8,59,-86,0.14,15.45,1.42,21.86,0.74479,1
2020_07_04_13_16,508,17.9,57,-86,0.14,15.45,1.39,21.51,0.74543,2
2020_07_04_13_21,530,18,56,-86,0.14,15.26,1.31,20.04,0.75499,2
2020_07_04_13_27,552,18.1,55,-86,0.14,15.45,1.27,19.67,0.75241,2
2020_07_04_13_33,597,18.3,53,-86,0.14,15.45,1.22,18.80,0.75565,2
2020_07_04_13_39,617,18.5,51,-86,0.14,15.66,1.21,19.00,0.75750,2
2020_07_04_13_45,638,18.6,50,-86,0.14,15.65,1.25,19.56,0.75864,2
2020_07_04_13_50,657,18.7,49,-86,0.14,15.86,1.28,20.36,0.75760,2
2020_07_04_13_56,677,18.8,48,-87,0.14,15.86,1.29,20.49,0.75515,2
2020_07_04_14_02,696,19,46,-87,0.14,15.86,1.31,20.81,0.75482,2
2020_07_04_14_08,731,19.4,44,-87,0.14,15.86,1.30,20.65,0.75330,2
2020_07_04_14_13,746,19.6,43,-87,0.14,15.65,1.26,19.73,0.74920,2
2020_07_04_14_19,747,19.9,41,-87,0.14,15.86,1.20,18.97,0.75253,2
2020_07_04_14_25,743,20.1,40,-87,0.14,15.86,1.20,18.97,0.75408,2
2020_07_04_14_31,731,20.4,39,-87,0.14,15.86,1.21,19.17,0.75245,2
2020_07_04_14_36,719,20.7,38,-87,0.14,15.65,1.25,19.63,0.75016,2
2020_07_04_14_42,732,20.9,36,-87,0.14,15.65,1.27,19.91,0.74626,2
2020_07_04_14_48,785,21.5,34,-87,0.14,15.66,1.26,19.72,0.74575,2
2020_07_04_14_54,820,21.7,33,-87,0.14,15.65,1.27,19.83,0.74994,2
2020_07_04_14_59,820,21.7,33,-87,0.14,15.65,1.38,21.55,0.74904,2
2020_07_04_15_05,825,22.2,30,-87,0.14,15.45,1.49,22.99,0.73864,1
2020_07_04_15_11,811,22.4,29,-87,0.14,15.66,1.64,25.67,0.73564,1
2020_07_04_15_17,795,22.6,28,-87,0.14,15.45,1.60,24.67,0.73503,1
2020_07_04_15_23,839,23,25,-87,0.14,15.45,1.67,25.83,0.73491,1
2020_07_04_15_28,872,23.2,24,-87,0.14,15.45,1.58,24.38,0.73197,1
2020_07_04_15_34,906,23.4,23,-87,0.14,15.45,1.35,20.80,0.71043,1
2020_07_04_15_40,930,23.5,22,-87,0.14,15.45,1.22,18.77,0.72236,1
2020_07_04_15_46,950,23.7,20,-87,0.14,15.66,1.22,19.15,0.74453,1
2020_07_04_15_51,965,23.9,19,-87,0.14,15.85,1.14,18.12,0.66977,0
2020_07_04_16_03,924,24.4,15,-87,0.14,16.26,0.56,9.11,0.62151,0
2020_07_04_16_09,902,24.5,14,-87,0.14,15.65,0.54,8.44,0.73798,1
2020_07_04_16_14,884,24.6,13,-87,0.14,15.65,0.42,6.64,0.73856,1
2020_07_04_16_20,883,24.7,12,-87,0.14,15.65,0.43,6.65,0.78697,3
2020_07_04_16_26,887,24.8,10,-86,0.14,15.65,0.44,6.82,0.76571,3
2020_07_04_16_32,867,24.9,9,-86,0.14,15.06,0.30,4.46,0.71948,1
2020_07_04_16_37,841,25,8,-86,0.14,15.26,0.26,4.01,0.73689,1
2020_07_04_16_43,843,25.2,5,-84,0.14,15.06,0.22,3.30,0.74474,1
2020_07_04_16_49,841,25.3,4,-81,0.14,15.86,0.23,3.63,0.69259,0
2020_07_04_16_55,837,25.4,3,-78,0.14,15.25,0.20,3.07,0.63968,0
2020_07_04_17_01,822,25.4,2,-53,0.14,15.65,0.33,5.18,0.75859,2
2020_07_04_17_06,805,25.4,1,-20,0.14,15.65,0.37,5.73,0.74715,2
2020_07_04_17_12,799,25.2,1,19,0.14,15.45,0.32,4.88,0.74278,1
2020_07_04_17_18,755,25,3,79,0.14,15.25,0.29,4.38,0.74510,2
2020_07_04_17_24,701,24.8,5,82,0.14,14.86,0.20,3.00,0.71169,1
2020_07_04_17_29,647,24.7,6,84,0.14,14.66,0.15,2.14,0.66210,0
2020_07_04_17_35,593,24.5,7,85,0.14,15.25,0.17,2.56,0.75807,2
2020_07_04_17_41,572,24.4,8,86,0.14,15.25,0.17,2.56,0.74645,2
2020_07_04_17_47,561,24.2,10,86,0.14,14.46,0.14,2.05,0.73287,1
2020_07_04_17_52,558,24.1,11,86,0.14,13.66,0.07,0.96,0.69370,0
2020_07_04_17_58,557,23.9,12,87,0.14,13.66,0.04,0.55,0.66893,0
2020_07_04_18_04,538,23.7,15,87,0.14,12.46,0.02,0.30,0.66501,0
2020_08_04_05_57,0,15.2,162,-43,0.14,11.66,0.01,0.08,0.67166,0
2020_08_04_06_03,0,15.2,160,-48,0.14,13.26,0.03,0.34,0.73334,1
2020_08_04_06_09,0,15.2,159,-50,0.14,13.46,0.04,0.55,0.69669,0
2020_08_04_06_15,0,15.1,158,-53,0.14,14.27,0.05,0.66,0.75234,2
